GetUserDefaultUILanguage  1033
Starting scan of population file 'C:/Users/appma/code/animal-population-changer/mods/animal_population_16'
SAVE string found.
COMP string found.
Starting decompression...
Magic number matches
Starting scan of playerinformation file 'C:/Users/appma/code/animal-population-changer/mods/playerinformation_adf'
Starting scan of found need zones file 'C:/Users/appma/code/animal-population-changer/mods/found_need_zones_adf'
Red Deer,Trivial,Female,143.084 kg,0 TR,Dark Brown   
Fallow Deer,Trivial,Female,41.3347 kg,0 TR,Spotted Red  
Red Deer,Minor,Female,148.322 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,42.8237 kg,0 TR,Spotted Red  
Fallow Deer,Trivial,Female,36.8361 kg,0 TR,Spotted
Hog Deer,Trivial,Female,32.468 kg,0 TR,Brown        
Sambar,Trivial,Female,205.046 kg,0 TR,Dark Brown   
Hog Deer,Trivial,Female,28.3953 kg,0 TR,Brown        
Axis Deer,Trivial,Female,32.5749 kg,0 TR,Spotted
Axis Deer,Trivial,Female,35.9135 kg,0 TR,Spotted
Axis Deer,Trivial,Female,34.7473 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,33.6203 kg,0 TR,Spotted
Red Deer,Trivial,Female,138.162 kg,0 TR,Brown        
Red Deer,Trivial,Female,141.981 kg,0 TR,Dark Brown   
Axis Deer,Trivial,Female,33.4603 kg,0 TR,Orange       
Red Deer,Minor,Female,149.765 kg,0 TR,Gray         
Sambar,Trivial,Female,207.617 kg,0 TR,Dark Brown   
Hog Deer,Trivial,Female,31.8038 kg,0 TR,Spotted
Hog Deer,Trivial,Female,28.8333 kg,0 TR,Dark Spotted
Red Deer,Minor,Female,158.754 kg,0 TR,Gray         
Hog Deer,Trivial,Female,30.5669 kg,0 TR,Brown        
Axis Deer,Trivial,Female,33.9228 kg,0 TR,Spotted
Hog Deer,Trivial,Female,31.6056 kg,0 TR,Brown        
Hog Deer,Trivial,Female,28.9225 kg,0 TR,Brown        
Sambar,Trivial,Female,199.719 kg,0 TR,Light Brown  
Axis Deer,Trivial,Female,31.7286 kg,0 TR,Spotted
Sambar,Trivial,Female,195.317 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,38.008 kg,0 TR,Spotted Red  
Fallow Deer,Trivial,Female,48.0436 kg,0 TR,Spotted Red  
Hog Deer,Trivial,Female,29.1648 kg,0 TR,Brown        
Sambar,Trivial,Female,208.685 kg,0 TR,Dark Brown   
Hog Deer,Trivial,Female,28.1833 kg,0 TR,Brown        
Red Deer,Minor,Female,150.339 kg,0 TR,Brown        
Hog Deer,Trivial,Female,29.4655 kg,0 TR,Brown        
Sambar,Trivial,Female,208.788 kg,0 TR,Dark Brown   
Fallow Deer,Trivial,Female,44.7045 kg,0 TR,Spotted
Axis Deer,Trivial,Female,33.449 kg,0 TR,Spotted
Axis Deer,Trivial,Female,32.2456 kg,0 TR,Spotted
Axis Deer,Trivial,Female,26.7029 kg,0 TR,Spotted
Sambar,Minor,Female,216.274 kg,0 TR,Dark Brown   
Red Deer,Minor,Female,148.969 kg,0 TR,Brown        
Axis Deer,Trivial,Female,35.6558 kg,0 TR,Orange       
Hog Deer,Trivial,Female,31.0682 kg,0 TR,Brown        
Axis Deer,Trivial,Female,31.9233 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,37.4529 kg,0 TR,Spotted
Axis Deer,Trivial,Female,31.8857 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,38.7675 kg,0 TR,Spotted Red  
Sambar,Trivial,Female,212.519 kg,0 TR,Dark Brown   
Sambar,Trivial,Female,210.176 kg,0 TR,Light Brown  
Fallow Deer,Trivial,Female,42.6246 kg,0 TR,Spotted Red  
Sambar,Trivial,Female,208.636 kg,0 TR,Light Brown  
Fallow Deer,Trivial,Female,44.1506 kg,0 TR,Spotted Red  
Sambar,Trivial,Female,205.804 kg,0 TR,Brown        
Axis Deer,Trivial,Female,33.9838 kg,0 TR,Spotted
Red Deer,Minor,Female,147.637 kg,0 TR,Gray         
